PrId 	Date1 	QuantS
1	15.02.2007	1
8	16.02.2007	1
9	17.02.2007	1
2	16.02.2007	1
9	17.02.2007	2
9	16.02.2007	2
9	15.02.2007	2
2	18.02.2007	2
7	17.02.2007	2
3	18.02.2007	2
9	17.02.2007	2
5	18.02.2007	2
8	17.02.2007	3
7	18.02.2007	3
1	17.02.2007	3
7	15.02.2007	3
4	16.02.2007	3
9	18.02.2007	3
5	18.02.2007	3
6	17.02.2007	3
3	16.02.2007	3
4	16.02.2007	3
6	15.02.2007	3
2	16.02.2007	4
5	15.02.2007	4
2	16.02.2007	4
2	17.02.2007	4
1	16.02.2007	4
7	15.02.2007	4
8	15.02.2007	4
2	17.02.2007	4
9	18.02.2007	4
8	16.02.2007	4
9	17.02.2007	4
9	18.02.2007	4
9	16.02.2007	5
3	17.02.2007	5
9	17.02.2007	5
4	15.02.2007	5
8	17.02.2007	5
7	16.02.2007	5
7	16.02.2007	5
5	16.02.2007	5
6	15.02.2007	5
3	15.02.2007	5
7	15.02.2007	5
7	17.02.2007	5
